µ [1/h]	RANDOM_FLEXIBLE_36	RANDOM_FLEXIBLE_8	RANDOM_WILDTYPE_94	RANDOM_SINGLE_COFACTOR_44	RANDOM_FLEXIBLE_35	RANDOM_WILDTYPE_99	RANDOM_FLEXIBLE_22	RANDOM_SINGLE_COFACTOR_86	RANDOM_SINGLE_COFACTOR_19	RANDOM_FLEXIBLE_65	RANDOM_WILDTYPE_7	RANDOM_SINGLE_COFACTOR_10	RANDOM_SINGLE_COFACTOR_41	RANDOM_WILDTYPE_19	RANDOM_FLEXIBLE_26	RANDOM_WILDTYPE_61	RANDOM_WILDTYPE_88	RANDOM_FLEXIBLE_13	RANDOM_FLEXIBLE_17	RANDOM_SINGLE_COFACTOR_93	RANDOM_FLEXIBLE_44	RANDOM_FLEXIBLE_33	RANDOM_WILDTYPE_86	RANDOM_FLEXIBLE_93	RANDOM_FLEXIBLE_92	RANDOM_WILDTYPE_62	RANDOM_SINGLE_COFACTOR_83	RANDOM_WILDTYPE_30	RANDOM_SINGLE_COFACTOR_88	RANDOM_SINGLE_COFACTOR_74	RANDOM_SINGLE_COFACTOR_6	RANDOM_SINGLE_COFACTOR_51	RANDOM_FLEXIBLE_86	RANDOM_WILDTYPE_56	RANDOM_WILDTYPE_39	RANDOM_WILDTYPE_75	RANDOM_FLEXIBLE_39	RANDOM_WILDTYPE_87	RANDOM_FLEXIBLE_54	RANDOM_FLEXIBLE_16	RANDOM_FLEXIBLE_95	RANDOM_FLEXIBLE_53	RANDOM_FLEXIBLE_42	RANDOM_WILDTYPE_42	RANDOM_FLEXIBLE_46	RANDOM_WILDTYPE_4	RANDOM_WILDTYPE_96	RANDOM_FLEXIBLE_87	RANDOM_SINGLE_COFACTOR_40	RANDOM_FLEXIBLE_27	RANDOM_SINGLE_COFACTOR_70	RANDOM_WILDTYPE_73	RANDOM_SINGLE_COFACTOR_87	RANDOM_FLEXIBLE_79	RANDOM_FLEXIBLE_47	RANDOM_WILDTYPE_11	RANDOM_SINGLE_COFACTOR_49	RANDOM_SINGLE_COFACTOR_69	RANDOM_FLEXIBLE_57	RANDOM_FLEXIBLE_82	RANDOM_SINGLE_COFACTOR_34	RANDOM_SINGLE_COFACTOR_85	RANDOM_FLEXIBLE_59	RANDOM_WILDTYPE_6	RANDOM_WILDTYPE_58	RANDOM_FLEXIBLE_71	RANDOM_FLEXIBLE_3	RANDOM_WILDTYPE_76	RANDOM_FLEXIBLE_18	RANDOM_FLEXIBLE_40	RANDOM_WILDTYPE_92	RANDOM_WILDTYPE_12	RANDOM_FLEXIBLE_21	RANDOM_WILDTYPE_22	RANDOM_WILDTYPE_0	RANDOM_WILDTYPE_89	RANDOM_FLEXIBLE_12	RANDOM_WILDTYPE_18	RANDOM_SINGLE_COFACTOR_16	SINGLE_COFACTOR	RANDOM_SINGLE_COFACTOR_42	RANDOM_SINGLE_COFACTOR_1	RANDOM_FLEXIBLE_51	RANDOM_WILDTYPE_14	RANDOM_FLEXIBLE_76	RANDOM_SINGLE_COFACTOR_53	RANDOM_WILDTYPE_28	RANDOM_SINGLE_COFACTOR_81	RANDOM_WILDTYPE_84	RANDOM_WILDTYPE_85	RANDOM_WILDTYPE_20	RANDOM_FLEXIBLE_50	RANDOM_WILDTYPE_23	RANDOM_FLEXIBLE_77	RANDOM_WILDTYPE_54	RANDOM_SINGLE_COFACTOR_98	RANDOM_FLEXIBLE_45	RANDOM_SINGLE_COFACTOR_20	RANDOM_SINGLE_COFACTOR_29	RANDOM_WILDTYPE_53	RANDOM_FLEXIBLE_63	RANDOM_SINGLE_COFACTOR_48	RANDOM_SINGLE_COFACTOR_61	RANDOM_WILDTYPE_8	RANDOM_FLEXIBLE_70	RANDOM_FLEXIBLE_29	RANDOM_SINGLE_COFACTOR_65	WILDTYPE	RANDOM_FLEXIBLE_85	RANDOM_SINGLE_COFACTOR_94	RANDOM_SINGLE_COFACTOR_89	RANDOM_SINGLE_COFACTOR_59	RANDOM_SINGLE_COFACTOR_28	RANDOM_WILDTYPE_15	RANDOM_WILDTYPE_59	RANDOM_WILDTYPE_97	RANDOM_WILDTYPE_51	RANDOM_FLEXIBLE_96	RANDOM_FLEXIBLE_28	RANDOM_SINGLE_COFACTOR_96	RANDOM_WILDTYPE_5	RANDOM_FLEXIBLE_24	RANDOM_FLEXIBLE_31	RANDOM_FLEXIBLE_69	RANDOM_FLEXIBLE_15	RANDOM_SINGLE_COFACTOR_3	RANDOM_SINGLE_COFACTOR_31	RANDOM_SINGLE_COFACTOR_37	RANDOM_WILDTYPE_90	RANDOM_SINGLE_COFACTOR_0	RANDOM_WILDTYPE_66	RANDOM_SINGLE_COFACTOR_14	RANDOM_SINGLE_COFACTOR_36	RANDOM_SINGLE_COFACTOR_23	RANDOM_SINGLE_COFACTOR_68	RANDOM_FLEXIBLE_11	RANDOM_FLEXIBLE_97	RANDOM_FLEXIBLE_23	RANDOM_SINGLE_COFACTOR_95	RANDOM_WILDTYPE_32	RANDOM_WILDTYPE_46	RANDOM_WILDTYPE_38	RANDOM_SINGLE_COFACTOR_35	RANDOM_WILDTYPE_34	RANDOM_FLEXIBLE_48	RANDOM_SINGLE_COFACTOR_64	RANDOM_WILDTYPE_17	RANDOM_WILDTYPE_80	RANDOM_WILDTYPE_70	RANDOM_FLEXIBLE_1	RANDOM_WILDTYPE_71	RANDOM_SINGLE_COFACTOR_43	RANDOM_SINGLE_COFACTOR_26	RANDOM_FLEXIBLE_32	RANDOM_FLEXIBLE_60	RANDOM_WILDTYPE_68	RANDOM_SINGLE_COFACTOR_30	RANDOM_SINGLE_COFACTOR_79	RANDOM_SINGLE_COFACTOR_5	RANDOM_WILDTYPE_74	RANDOM_FLEXIBLE_9	RANDOM_WILDTYPE_50	RANDOM_FLEXIBLE_68	RANDOM_SINGLE_COFACTOR_63	RANDOM_WILDTYPE_44	RANDOM_FLEXIBLE_41	RANDOM_SINGLE_COFACTOR_66	RANDOM_WILDTYPE_91	RANDOM_WILDTYPE_13	RANDOM_SINGLE_COFACTOR_52	RANDOM_SINGLE_COFACTOR_80	RANDOM_WILDTYPE_36	RANDOM_SINGLE_COFACTOR_8	RANDOM_SINGLE_COFACTOR_57	RANDOM_WILDTYPE_29	RANDOM_FLEXIBLE_2	RANDOM_FLEXIBLE_98	RANDOM_FLEXIBLE_58	RANDOM_FLEXIBLE_67	RANDOM_WILDTYPE_26	RANDOM_FLEXIBLE_62	RANDOM_WILDTYPE_65	RANDOM_WILDTYPE_95	RANDOM_WILDTYPE_77	FLEXIBLE	RANDOM_WILDTYPE_83	RANDOM_FLEXIBLE_49	RANDOM_SINGLE_COFACTOR_92	RANDOM_SINGLE_COFACTOR_60	RANDOM_SINGLE_COFACTOR_2	RANDOM_FLEXIBLE_52	RANDOM_SINGLE_COFACTOR_50	RANDOM_SINGLE_COFACTOR_77	RANDOM_WILDTYPE_48	RANDOM_SINGLE_COFACTOR_71	RANDOM_SINGLE_COFACTOR_12	RANDOM_SINGLE_COFACTOR_58	RANDOM_WILDTYPE_33	RANDOM_FLEXIBLE_83	RANDOM_FLEXIBLE_73	RANDOM_FLEXIBLE_30	RANDOM_SINGLE_COFACTOR_24	RANDOM_FLEXIBLE_19	RANDOM_WILDTYPE_81	RANDOM_WILDTYPE_37	RANDOM_SINGLE_COFACTOR_90	RANDOM_FLEXIBLE_20	RANDOM_SINGLE_COFACTOR_46	RANDOM_FLEXIBLE_89	RANDOM_FLEXIBLE_90	RANDOM_WILDTYPE_67	RANDOM_SINGLE_COFACTOR_7	RANDOM_WILDTYPE_43	RANDOM_WILDTYPE_40	RANDOM_WILDTYPE_57	RANDOM_SINGLE_COFACTOR_47	RANDOM_FLEXIBLE_5	RANDOM_SINGLE_COFACTOR_21	RANDOM_FLEXIBLE_72	RANDOM_WILDTYPE_27	RANDOM_SINGLE_COFACTOR_62	RANDOM_WILDTYPE_55	RANDOM_SINGLE_COFACTOR_56	RANDOM_WILDTYPE_69	RANDOM_SINGLE_COFACTOR_17	RANDOM_WILDTYPE_78	RANDOM_WILDTYPE_79	RANDOM_WILDTYPE_2	RANDOM_FLEXIBLE_43	RANDOM_SINGLE_COFACTOR_72	RANDOM_SINGLE_COFACTOR_11	RANDOM_FLEXIBLE_55	RANDOM_SINGLE_COFACTOR_33	RANDOM_WILDTYPE_10	RANDOM_WILDTYPE_64	RANDOM_FLEXIBLE_14	RANDOM_SINGLE_COFACTOR_45	RANDOM_FLEXIBLE_66	RANDOM_WILDTYPE_52	RANDOM_SINGLE_COFACTOR_76	RANDOM_WILDTYPE_9	RANDOM_FLEXIBLE_0	RANDOM_FLEXIBLE_61	RANDOM_FLEXIBLE_94	RANDOM_SINGLE_COFACTOR_22	RANDOM_WILDTYPE_72	RANDOM_WILDTYPE_35	RANDOM_SINGLE_COFACTOR_39	RANDOM_FLEXIBLE_25	RANDOM_WILDTYPE_47	RANDOM_FLEXIBLE_56	RANDOM_FLEXIBLE_74	RANDOM_WILDTYPE_21	RANDOM_SINGLE_COFACTOR_13	RANDOM_SINGLE_COFACTOR_75	RANDOM_WILDTYPE_82	RANDOM_WILDTYPE_1	RANDOM_FLEXIBLE_91	RANDOM_FLEXIBLE_64	RANDOM_WILDTYPE_45	RANDOM_SINGLE_COFACTOR_99	RANDOM_SINGLE_COFACTOR_9	RANDOM_SINGLE_COFACTOR_73	RANDOM_SINGLE_COFACTOR_25	RANDOM_WILDTYPE_3	RANDOM_WILDTYPE_31	RANDOM_SINGLE_COFACTOR_78	RANDOM_WILDTYPE_49	RANDOM_FLEXIBLE_37	RANDOM_WILDTYPE_41	RANDOM_FLEXIBLE_78	RANDOM_WILDTYPE_16	RANDOM_FLEXIBLE_88	RANDOM_SINGLE_COFACTOR_15	RANDOM_WILDTYPE_63	RANDOM_SINGLE_COFACTOR_27	RANDOM_WILDTYPE_98	RANDOM_FLEXIBLE_99	RANDOM_FLEXIBLE_34	RANDOM_WILDTYPE_93	RANDOM_WILDTYPE_25	RANDOM_SINGLE_COFACTOR_84	RANDOM_SINGLE_COFACTOR_67	RANDOM_SINGLE_COFACTOR_82	RANDOM_SINGLE_COFACTOR_54	RANDOM_FLEXIBLE_7	RANDOM_FLEXIBLE_81	RANDOM_SINGLE_COFACTOR_38	RANDOM_FLEXIBLE_38	RANDOM_FLEXIBLE_84	RANDOM_WILDTYPE_60	RANDOM_SINGLE_COFACTOR_55	RANDOM_FLEXIBLE_75	RANDOM_FLEXIBLE_6	RANDOM_FLEXIBLE_10	RANDOM_SINGLE_COFACTOR_18	RANDOM_SINGLE_COFACTOR_91	RANDOM_SINGLE_COFACTOR_32	RANDOM_WILDTYPE_24	RANDOM_FLEXIBLE_80	RANDOM_FLEXIBLE_4	RANDOM_SINGLE_COFACTOR_97	RANDOM_SINGLE_COFACTOR_4
0,868	5,49	6,326	4,626	1,165	8,234	4,879	5,883	2,622	-1,026	5,303	4,961	-0,614	-1,155	5,748	4,676	6,692	6,614	7,928	7,36	-1,284	6,008	6,51	6,455	5,465	6,045	4,636	-0,936	4,728	-0,062	1,261	0,336	-1,516	7,07	5,674	5,788	4,833	8,384	5,506	6,514	7,506	6,745	4,537	7,667	5,876	5,199	4,948	3,605	7,533	-1,86	5,592	-1,126	4,325	0,85	7,026	6,139	5,272	-2,03	-2,081	5,821	5,849	-2,499	-0,986	4,912	6,02	5,603	6,556	7,021	4,104	7,627	6,016	5,747	4,843	6,719	5,883	5,453	6,115	6,746	6,931	-0,633	0,139	-0,466	-0,321	4,623	4,798	5,908	-0,197	5,261	0,092	3,481	5,247	6,238	5,456	5,79	7,101	4,77	-2,08	5,374	-0,179	-0,161	4,537	5,111	0,084	-0,042	4,938	5,431	5,666	-1,175	6,223	6,048	1,194	-0,382	-0,708	0,621	4,67	4,912	4,91	4,623	3,738	5,983	-2,401	5,865	7,335	6,656	6,38	5,971	-1,42	1,66	-1,129	4,268	0,411	4,026	-1,798	-1,234	-0,258	1,823	6,845	6,239	7,056	0,33	6,088	5,199	5,288	0,702	4,708	3,878	-1,115	5,357	6,19	5,431	6,681	4,696	-1,946	-0,35	7,991	5,307	6,992	-1,48	0,981	1,552	5,766	8,031	3,706	9,239	-1,215	4,202	7,677	0,087	5,69	4,976	-2,505	-1,23	4,816	-0,119	-0,898	4,798	7,607	5,869	5,603	7,835	4,676	6,725	4,877	5,986	6,271	7,83	4,392	5,005	-0,781	-0,375	-0,605	6,485	-1,204	0,671	3,878	-1,606	0,894	-0,404	4,65	6,669	5,055	6,967	-0,81	6,563	5,392	5,511	-0,575	7,661	-1,293	6,159	6,052	4,64	0,548	4,063	5,048	4,786	-1,851	5,865	-2,255	7,562	5,526	-0,765	4,442	-1,056	4,746	0,328	5,381	6,017	5,548	4,063	0,358	0,725	4,635	-3,863	5,163	3,981	7,89	-1,854	4,234	4,492	-2,483	6,956	7,373	6,95	7,844	0,858	5,658	5,862	-0,25	5,703	5,204	6,781	5,766	4,932	-0,17	-1,07	5,443	6,183	6,037	4,41	5,374	-1,814	1,399	-2,135	-0,343	5,109	6,416	1,035	3,457	5,857	5,654	5,381	4,807	8,338	-1,693	5,111	-0,904	4,022	5,559	6,074	5,129	4,932	-2,247	-2,098	-0,833	0,597	7,107	6,525	1,572	6,242	4,928	5,307	-1,641	6,927	7,404	6,445	0,764	1,256	-0,08	5,789	6,478	6,843	-0,775	-0,303
0,818	5,49	6,411	7,89	3,132	8,915	6,27	5,883	4,666	2,342	6,241	8,32	1,899	0,643	8,481	5,973	6,95	9,16	8,659	7,36	0,169	6,008	7,637	8,12	5,465	7,752	7,37	3,171	8,242	4,006	1,261	3,545	1,773	8,12	6,781	8,475	7,693	8,475	7,533	6,789	7,706	6,745	4,537	7,667	7,667	5,199	6,843	6,826	7,533	1,559	5,592	2,352	7,13	2,051	7,026	8,882	6,845	1,711	0,607	5,821	8,311	0,063	1,362	4,912	7,404	5,603	6,947	9,48	5,908	7,627	7,786	7,752	6,746	7,518	5,883	9,339	6,159	6,746	7,627	2,854	2,09	2,498	2,7	4,623	7,89	5,908	0,54	6,532	2,727	4,928	6,048	7,661	7,69	7,056	7,13	6,789	-0,329	5,374	2,664	2,25	4,537	6,761	2,235	1,817	6,411	5,431	5,666	0,4	7,966	6,048	2,559	1,576	1,64	2,089	9,126	4,912	6,239	4,623	6,826	6,532	0,273	5,865	7,335	6,656	6,38	9,456	1,576	3,884	2,823	6,052	3,001	6,501	0,359	2,392	2,446	4,714	6,845	6,239	7,056	2,214	8,029	5,199	6,242	2,024	6,074	3,878	2,648	7,36	6,883	5,431	6,681	6,947	0,991	1,376	8,393	5,307	9,733	0,643	3,708	3,303	5,766	9,208	6,873	9,733	1,375	6,008	9,03	1,829	6,037	8,378	0,335	0,847	5,49	1,383	2,012	5,666	9,205	7,683	5,603	8,614	5,973	7,37	6,241	6,745	7,13	7,966	8,013	5,005	3,211	1,414	3,646	7,219	-0,0	3,185	3,878	1,506	2,164	1,839	7,637	8,013	7,13	8,444	3,976	8,481	8,427	5,857	0,098	7,661	1,416	6,159	6,052	7,718	2,468	8,52	7,77	5,821	1,587	5,865	1,104	7,562	5,592	1,07	4,635	1,442	6,38	2,457	5,381	7,026	8,771	8,52	4,441	3,884	4,635	0,307	6,445	8,002	7,89	2,146	6,501	7,219	0,8	9,208	10,281	6,95	7,89	1,866	7,562	8,587	2,103	7,374	8,882	6,781	5,766	7,518	2,088	1,726	7,751	6,681	6,037	8,002	5,374	1,561	5,645	0,849	1,572	9,167	6,656	2,972	5,005	5,857	7,953	5,381	7,706	9,475	3,321	6,761	1,507	6,21	6,27	6,074	5,465	7,374	-0,119	-0,036	1,512	1,704	8,393	8,813	2,856	6,242	4,928	5,307	1,716	7,693	7,404	6,445	4,628	3,091	2,207	7,335	6,883	6,843	0,292	1,915
0,768	5,49	8,374	7,89	3,132	8,915	6,451	5,883	5,384	2,342	6,241	9,181	2,181	1,334	8,481	5,973	6,95	9,16	9,403	7,36	0,967	6,008	7,637	8,12	5,465	8,775	7,37	3,281	8,49	4,006	1,261	4,285	3,408	8,12	6,781	8,475	8,082	8,475	7,533	6,789	7,706	6,745	4,537	7,667	7,667	5,199	6,843	6,826	7,533	1,72	5,592	2,889	7,13	3,109	7,026	8,882	6,845	2,072	1,249	5,821	8,895	0,063	1,741	4,912	7,404	5,603	6,947	9,48	5,908	7,627	7,786	8,775	6,746	7,518	5,883	9,722	6,159	6,746	7,627	3,652	3,417	2,498	3,051	4,623	7,89	5,908	0,54	6,532	2,727	4,928	7,37	7,661	8,26	7,056	8,213	6,789	0,245	5,374	2,794	2,835	4,537	7,816	2,235	1,817	8,374	5,431	5,666	0,4	7,966	7,37	2,559	3,08	2,733	2,575	9,291	4,912	6,239	4,623	6,826	6,532	0,273	5,865	7,335	6,656	6,38	9,456	2,232	3,884	4,82	6,052	3,575	6,501	0,952	2,697	3,613	5,639	6,845	6,239	7,056	2,319	8,393	5,199	6,242	2,024	6,074	3,878	4,057	7,36	8,68	5,431	6,681	6,947	3,075	2,425	8,393	5,307	9,733	2,011	4,865	3,329	5,766	9,208	8,081	9,733	1,375	6,008	10,555	2,494	6,037	8,712	1,25	2,746	5,49	2,025	3,003	5,666	9,205	8,906	5,603	8,99	5,973	7,37	6,241	6,745	8,213	7,966	8,013	5,005	3,211	1,414	5,103	7,219	0,31	3,604	3,878	2,211	2,164	3,032	7,637	8,013	7,13	9,091	4,525	8,481	9,205	5,857	1,016	7,661	2,005	6,159	6,052	7,991	3,63	9,433	7,786	5,821	2,101	5,865	2,716	7,562	5,592	1,07	4,635	1,935	6,38	2,899	5,381	7,026	9,205	9,433	4,614	5,077	4,635	0,652	6,445	8,002	7,89	2,146	6,501	7,219	0,8	9,208	10,753	6,95	7,89	1,866	7,562	8,915	2,566	7,374	8,882	6,781	5,766	7,518	2,088	2,215	8,653	6,681	6,037	8,002	5,374	3,117	5,645	2,162	2,723	9,471	6,656	2,972	5,005	5,857	8,231	5,381	7,706	9,475	3,321	7,816	2,776	7,683	6,451	6,074	5,465	7,374	0,727	1,324	1,592	2,005	9,523	9,205	3,412	6,242	4,928	5,307	2,984	8,359	7,404	6,445	4,914	3,552	3,122	7,335	8,739	6,843	0,292	3,063
0,718	5,49	9,2	7,89	3,132	8,915	6,78	5,883	5,384	2,342	6,241	9,181	2,181	4,337	8,481	7,831	6,95	9,16	9,403	7,36	2,543	6,008	7,637	8,12	5,465	8,775	7,37	4,701	9,091	4,412	1,261	4,285	3,408	8,12	6,781	8,475	8,516	8,475	7,533	6,789	7,706	6,745	4,537	7,667	7,667	5,199	6,843	6,826	7,533	1,72	5,592	4,288	7,13	3,727	7,026	8,882	6,845	2,072	1,249	5,821	8,895	0,063	2,066	4,912	7,404	5,603	6,947	10,129	5,908	7,627	7,786	8,775	6,746	7,518	5,883	9,765	6,159	6,746	7,627	5,259	3,744	3,322	3,051	4,623	7,89	5,908	0,54	6,532	5,692	4,928	7,428	7,661	8,26	7,056	8,213	6,789	3,942	5,374	3,558	3,75	4,537	8,14	2,235	3,955	9,2	5,431	5,666	2,165	7,966	7,428	2,559	3,308	4,324	4,907	9,291	4,912	6,239	4,623	6,826	6,532	4,421	5,865	7,335	6,656	6,38	9,456	3,435	3,884	4,82	6,052	4,925	6,501	2,755	4,018	3,613	6,369	6,845	6,239	7,056	2,319	8,393	5,199	6,242	2,024	6,074	3,878	6,896	7,36	8,739	5,431	6,681	6,947	5,643	3,642	8,393	5,307	9,733	3,886	5,622	3,329	5,766	9,897	8,081	9,733	4,412	6,008	10,628	6,108	6,037	8,712	1,25	3,19	5,49	4,363	4,416	5,666	9,205	9,036	5,603	8,99	7,831	7,37	6,241	6,745	8,213	7,966	8,013	5,005	4,936	1,414	5,103	8,017	1,618	4,516	3,878	3,452	2,164	4,779	7,637	8,013	7,13	9,723	5,492	8,481	9,205	5,857	4,361	7,661	2,005	6,159	6,052	7,991	4,396	9,568	7,786	5,821	5,474	5,865	2,716	7,562	5,592	3,15	4,635	3,158	6,38	3,87	5,381	7,026	9,205	10,926	4,614	5,392	4,635	0,652	6,445	8,002	7,89	4,495	6,501	8,017	4,318	9,897	10,753	6,95	7,89	1,866	7,562	8,915	3,005	7,374	8,882	6,781	5,766	7,518	2,088	5,767	8,895	6,681	6,037	8,002	5,374	6,78	6,15	4,653	2,723	9,48	6,656	2,972	5,005	5,857	8,231	5,381	7,706	9,475	3,321	8,14	4,74	8,424	6,78	6,074	5,465	7,374	3,383	1,902	3,588	3,413	9,523	9,205	3,412	6,242	4,928	5,307	2,984	8,715	7,404	6,445	4,914	3,552	3,122	7,335	9,081	6,843	2,762	3,811
0,668	5,49	9,2	7,89	3,132	8,915	6,78	5,883	5,384	2,342	6,241	9,181	2,181	4,337	8,481	7,831	6,95	9,16	9,403	7,36	2,543	6,008	7,637	8,12	5,465	8,775	7,37	4,701	9,723	4,412	1,261	4,285	3,408	8,12	6,781	8,475	8,715	8,475	7,533	6,789	7,706	6,745	4,537	7,667	7,667	5,199	6,843	6,826	7,533	1,72	5,592	4,288	7,13	3,727	7,026	8,882	6,845	2,072	1,249	5,821	8,895	0,063	2,066	4,912	7,404	5,603	6,947	10,129	5,908	7,627	7,786	8,775	6,746	7,518	5,883	9,765	6,159	6,746	7,627	5,259	3,744	3,414	3,051	4,623	7,89	5,908	0,54	6,532	5,692	4,928	7,428	7,661	8,26	7,056	8,213	6,789	3,942	5,374	3,558	3,75	4,537	8,14	2,235	3,955	9,2	5,431	5,666	2,165	7,966	7,428	2,559	3,308	4,324	4,907	9,456	4,912	6,239	4,623	6,826	6,532	4,421	5,865	7,335	6,656	6,38	9,456	3,435	3,884	4,82	6,052	4,925	6,501	2,755	4,018	3,613	6,369	6,845	6,239	7,056	2,319	8,393	5,199	6,242	2,024	6,074	3,878	6,896	7,36	9,081	5,431	6,681	6,947	5,643	3,642	8,393	5,307	9,733	3,886	5,874	3,329	5,766	9,897	8,081	9,733	4,412	6,008	10,628	6,108	6,037	8,712	1,25	3,19	5,49	4,363	4,416	5,666	9,205	9,036	5,603	8,99	7,831	7,37	6,241	6,745	8,213	7,966	8,013	5,005	4,936	1,414	5,103	8,017	1,618	4,516	3,878	3,452	2,164	4,779	7,637	8,013	7,13	9,723	5,492	8,481	9,205	5,857	4,361	7,661	2,005	6,159	6,052	7,991	4,396	10,926	7,786	5,821	5,474	5,865	2,716	7,562	5,592	3,15	4,635	3,158	6,38	3,87	5,381	7,026	9,205	10,926	4,614	5,392	4,635	0,652	6,445	8,002	7,89	4,495	6,501	8,017	4,318	9,897	10,753	6,95	7,89	1,866	7,562	8,915	3,005	7,374	8,882	6,781	5,766	7,518	2,088	5,767	8,895	6,681	6,037	8,002	5,374	6,78	6,15	4,653	2,723	9,498	6,656	2,972	5,005	5,857	8,231	5,381	7,706	9,475	3,321	8,14	4,74	9,036	6,78	6,074	5,465	7,374	3,383	1,902	3,588	3,413	9,523	9,205	3,412	6,242	4,928	5,307	2,984	8,715	7,404	6,445	4,914	3,552	3,122	7,335	9,081	6,843	2,762	3,811
0,618	5,49	9,2	7,89	3,132	8,915	6,78	5,883	5,384	2,342	6,241	9,181	2,181	4,337	8,481	7,831	6,95	9,16	9,403	7,36	2,543	6,008	7,637	8,12	5,465	8,775	7,37	4,701	9,723	4,412	1,261	4,285	3,408	8,12	6,781	8,475	8,715	8,475	7,533	6,789	7,706	6,745	4,537	7,667	7,667	5,199	6,843	6,826	7,533	1,72	5,592	4,288	7,13	3,727	7,026	8,882	6,845	2,072	1,249	5,821	8,895	0,063	2,066	4,912	7,404	5,603	6,947	10,129	5,908	7,627	7,786	8,775	6,746	7,518	5,883	9,765	6,159	6,746	7,627	5,259	3,744	3,414	3,051	4,623	7,89	5,908	0,54	6,532	5,692	4,928	7,428	7,661	8,26	7,056	8,213	6,789	3,942	5,374	3,558	3,75	4,537	8,14	2,235	3,955	9,2	5,431	5,666	2,165	7,966	7,428	2,559	3,308	4,324	4,907	9,456	4,912	6,239	4,623	6,826	6,532	4,421	5,865	7,335	6,656	6,38	9,456	3,435	3,884	4,82	6,052	4,925	6,501	2,755	4,018	3,613	6,369	6,845	6,239	7,056	2,319	8,393	5,199	6,242	2,024	6,074	3,878	6,896	7,36	9,081	5,431	6,681	6,947	5,643	3,642	8,393	5,307	9,733	3,886	5,874	3,329	5,766	9,897	8,081	9,733	4,412	6,008	10,628	6,108	6,037	8,712	1,25	3,19	5,49	4,363	4,416	5,666	9,205	9,036	5,603	8,99	7,831	7,37	6,241	6,745	8,213	7,966	8,013	5,005	4,936	1,414	5,103	8,017	1,618	4,516	3,878	3,452	2,164	4,779	7,637	8,013	7,13	9,723	5,492	8,481	9,205	5,857	4,361	7,661	2,005	6,159	6,052	7,991	4,396	10,926	7,786	5,821	5,474	5,865	2,716	7,562	5,592	3,15	4,635	3,158	6,38	3,87	5,381	7,026	9,205	10,926	4,614	5,392	4,635	0,652	6,445	8,002	7,89	4,495	6,501	8,017	4,318	9,897	10,753	6,95	7,89	1,866	7,562	8,915	3,005	7,374	8,882	6,781	5,766	7,518	2,088	5,767	8,895	6,681	6,037	8,002	5,374	6,78	6,15	4,653	2,723	9,498	6,656	2,972	5,005	5,857	8,231	5,381	7,706	9,475	3,321	8,14	4,74	9,036	6,78	6,074	5,465	7,374	3,383	1,902	3,588	3,413	9,523	9,205	3,412	6,242	4,928	5,307	2,984	8,715	7,404	6,445	4,914	3,552	3,122	7,335	9,081	6,843	2,762	3,811
