µ [1/h]	RANDOMFIXED_0	SINGLE_COFACTOR	FLEXIBLE	WILDTYPE	RANDOMS_0
0,371	21,809	7,733	35,551	2,979	31,893
0,321	23,338	10,497	42,729	11,322	35,438
0,271	38,532	10,497	47,135	16,261	35,438
0,221	41,244	10,497	47,135	19,899	35,438
0,171	41,244	10,497	47,135	19,899	35,438
0,121	41,244	10,497	47,135	19,899	35,438
0,071	41,244	10,497	47,135	19,899	35,438
0,05	41,244	10,497	47,135	19,899	35,438
0,03	41,244	10,497	47,135	19,899	35,438
