µ [1/h]	RANDOM_WILDTYPE_42	RANDOM_FLEXIBLE_9	RANDOM_WILDTYPE_75	RANDOM_SINGLE_COFACTOR_79	RANDOM_SINGLE_COFACTOR_87	RANDOM_WILDTYPE_78	RANDOM_SINGLE_COFACTOR_44	RANDOM_SINGLE_COFACTOR_18	RANDOM_WILDTYPE_44	RANDOM_SINGLE_COFACTOR_46	RANDOM_WILDTYPE_65	RANDOM_WILDTYPE_50	RANDOM_WILDTYPE_2	RANDOM_WILDTYPE_58	RANDOM_SINGLE_COFACTOR_77	RANDOM_WILDTYPE_45	RANDOM_SINGLE_COFACTOR_0	RANDOM_FLEXIBLE_16	RANDOM_FLEXIBLE_98	RANDOM_FLEXIBLE_74	RANDOM_SINGLE_COFACTOR_22	RANDOM_WILDTYPE_77	RANDOM_FLEXIBLE_47	RANDOM_WILDTYPE_82	RANDOM_SINGLE_COFACTOR_6	RANDOM_FLEXIBLE_97	RANDOM_WILDTYPE_14	RANDOM_WILDTYPE_8	RANDOM_WILDTYPE_97	RANDOM_FLEXIBLE_6	RANDOM_FLEXIBLE_41	RANDOM_FLEXIBLE_3	RANDOM_SINGLE_COFACTOR_76	RANDOM_WILDTYPE_86	RANDOM_SINGLE_COFACTOR_17	RANDOM_WILDTYPE_89	RANDOM_WILDTYPE_20	RANDOM_FLEXIBLE_19	RANDOM_SINGLE_COFACTOR_25	RANDOM_FLEXIBLE_92	RANDOM_WILDTYPE_9	RANDOM_WILDTYPE_11	RANDOM_WILDTYPE_83	RANDOM_WILDTYPE_29	RANDOM_SINGLE_COFACTOR_49	RANDOM_FLEXIBLE_39	RANDOM_WILDTYPE_93	RANDOM_WILDTYPE_72	RANDOM_WILDTYPE_88	RANDOM_WILDTYPE_70	RANDOM_FLEXIBLE_27	RANDOM_SINGLE_COFACTOR_15	RANDOM_WILDTYPE_99	RANDOM_WILDTYPE_5	RANDOM_WILDTYPE_57	RANDOM_FLEXIBLE_38	RANDOM_FLEXIBLE_82	RANDOM_WILDTYPE_94	RANDOM_SINGLE_COFACTOR_37	RANDOM_WILDTYPE_71	RANDOM_WILDTYPE_46	RANDOM_SINGLE_COFACTOR_99	RANDOM_SINGLE_COFACTOR_13	RANDOM_FLEXIBLE_88	RANDOM_WILDTYPE_40	RANDOM_FLEXIBLE_48	RANDOM_FLEXIBLE_4	RANDOM_SINGLE_COFACTOR_96	RANDOM_WILDTYPE_21	RANDOM_WILDTYPE_60	RANDOM_SINGLE_COFACTOR_53	RANDOM_WILDTYPE_18	RANDOM_FLEXIBLE_96	RANDOM_FLEXIBLE_99	RANDOM_SINGLE_COFACTOR_98	RANDOM_FLEXIBLE_35	RANDOM_FLEXIBLE_36	RANDOM_SINGLE_COFACTOR_74	RANDOM_FLEXIBLE_89	RANDOM_WILDTYPE_27	RANDOM_FLEXIBLE_22	RANDOM_FLEXIBLE_5	RANDOM_SINGLE_COFACTOR_51	RANDOM_WILDTYPE_84	RANDOM_WILDTYPE_38	RANDOM_FLEXIBLE_83	RANDOM_FLEXIBLE_32	RANDOM_SINGLE_COFACTOR_8	RANDOM_SINGLE_COFACTOR_57	RANDOM_SINGLE_COFACTOR_4	RANDOM_FLEXIBLE_24	RANDOM_FLEXIBLE_59	RANDOM_FLEXIBLE_86	RANDOM_FLEXIBLE_52	RANDOM_SINGLE_COFACTOR_26	RANDOM_WILDTYPE_19	RANDOM_SINGLE_COFACTOR_73	RANDOM_FLEXIBLE_28	RANDOM_WILDTYPE_17	RANDOM_FLEXIBLE_49	RANDOM_SINGLE_COFACTOR_2	RANDOM_SINGLE_COFACTOR_66	RANDOM_WILDTYPE_39	RANDOM_FLEXIBLE_75	RANDOM_WILDTYPE_64	RANDOM_FLEXIBLE_42	RANDOM_WILDTYPE_95	RANDOM_SINGLE_COFACTOR_64	RANDOM_FLEXIBLE_93	RANDOM_FLEXIBLE_23	RANDOM_FLEXIBLE_67	RANDOM_SINGLE_COFACTOR_88	RANDOM_FLEXIBLE_13	RANDOM_FLEXIBLE_78	RANDOM_FLEXIBLE_66	RANDOM_WILDTYPE_37	RANDOM_SINGLE_COFACTOR_30	RANDOM_SINGLE_COFACTOR_21	RANDOM_SINGLE_COFACTOR_92	RANDOM_SINGLE_COFACTOR_80	RANDOM_SINGLE_COFACTOR_69	RANDOM_FLEXIBLE_70	RANDOM_FLEXIBLE_53	RANDOM_FLEXIBLE_64	RANDOM_FLEXIBLE_0	RANDOM_FLEXIBLE_11	RANDOM_WILDTYPE_54	RANDOM_WILDTYPE_25	RANDOM_SINGLE_COFACTOR_48	RANDOM_FLEXIBLE_68	RANDOM_WILDTYPE_32	RANDOM_WILDTYPE_35	RANDOM_SINGLE_COFACTOR_85	RANDOM_FLEXIBLE_85	RANDOM_WILDTYPE_80	RANDOM_SINGLE_COFACTOR_97	RANDOM_FLEXIBLE_77	RANDOM_SINGLE_COFACTOR_72	RANDOM_FLEXIBLE_87	RANDOM_WILDTYPE_91	RANDOM_SINGLE_COFACTOR_7	RANDOM_FLEXIBLE_44	RANDOM_WILDTYPE_55	RANDOM_FLEXIBLE_54	RANDOM_FLEXIBLE_26	RANDOM_SINGLE_COFACTOR_34	SINGLE_COFACTOR	RANDOM_WILDTYPE_62	RANDOM_FLEXIBLE_33	RANDOM_FLEXIBLE_10	RANDOM_FLEXIBLE_14	RANDOM_WILDTYPE_67	RANDOM_FLEXIBLE_17	RANDOM_WILDTYPE_79	RANDOM_SINGLE_COFACTOR_84	RANDOM_FLEXIBLE_69	RANDOM_SINGLE_COFACTOR_61	RANDOM_SINGLE_COFACTOR_24	RANDOM_WILDTYPE_1	RANDOM_FLEXIBLE_61	RANDOM_SINGLE_COFACTOR_1	RANDOM_FLEXIBLE_95	RANDOM_SINGLE_COFACTOR_82	RANDOM_SINGLE_COFACTOR_20	RANDOM_WILDTYPE_23	RANDOM_SINGLE_COFACTOR_50	RANDOM_SINGLE_COFACTOR_45	RANDOM_SINGLE_COFACTOR_70	RANDOM_SINGLE_COFACTOR_40	RANDOM_SINGLE_COFACTOR_54	RANDOM_WILDTYPE_22	RANDOM_WILDTYPE_6	RANDOM_FLEXIBLE_12	RANDOM_WILDTYPE_33	RANDOM_SINGLE_COFACTOR_28	RANDOM_WILDTYPE_92	RANDOM_WILDTYPE_15	RANDOM_WILDTYPE_28	RANDOM_FLEXIBLE_15	RANDOM_FLEXIBLE_76	RANDOM_SINGLE_COFACTOR_95	RANDOM_FLEXIBLE_80	RANDOM_WILDTYPE_66	RANDOM_WILDTYPE_51	RANDOM_FLEXIBLE_8	RANDOM_WILDTYPE_74	RANDOM_SINGLE_COFACTOR_59	RANDOM_FLEXIBLE_62	RANDOM_FLEXIBLE_21	RANDOM_WILDTYPE_26	RANDOM_FLEXIBLE_57	RANDOM_SINGLE_COFACTOR_3	RANDOM_SINGLE_COFACTOR_93	RANDOM_WILDTYPE_59	RANDOM_SINGLE_COFACTOR_11	RANDOM_WILDTYPE_30	RANDOM_FLEXIBLE_18	RANDOM_FLEXIBLE_40	RANDOM_WILDTYPE_63	RANDOM_SINGLE_COFACTOR_16	RANDOM_SINGLE_COFACTOR_60	RANDOM_SINGLE_COFACTOR_29	RANDOM_SINGLE_COFACTOR_32	RANDOM_SINGLE_COFACTOR_55	RANDOM_FLEXIBLE_51	RANDOM_FLEXIBLE_1	RANDOM_SINGLE_COFACTOR_71	RANDOM_SINGLE_COFACTOR_38	RANDOM_SINGLE_COFACTOR_81	RANDOM_WILDTYPE_87	RANDOM_FLEXIBLE_45	RANDOM_WILDTYPE_52	RANDOM_FLEXIBLE_30	RANDOM_SINGLE_COFACTOR_27	RANDOM_FLEXIBLE_71	RANDOM_SINGLE_COFACTOR_14	RANDOM_WILDTYPE_13	RANDOM_WILDTYPE_10	RANDOM_WILDTYPE_3	RANDOM_FLEXIBLE_79	RANDOM_WILDTYPE_76	RANDOM_FLEXIBLE_2	RANDOM_FLEXIBLE_29	RANDOM_FLEXIBLE_91	RANDOM_SINGLE_COFACTOR_83	RANDOM_WILDTYPE_31	RANDOM_SINGLE_COFACTOR_41	RANDOM_WILDTYPE_48	RANDOM_SINGLE_COFACTOR_43	RANDOM_SINGLE_COFACTOR_89	RANDOM_WILDTYPE_69	RANDOM_SINGLE_COFACTOR_5	RANDOM_FLEXIBLE_72	RANDOM_SINGLE_COFACTOR_31	RANDOM_WILDTYPE_56	FLEXIBLE	RANDOM_FLEXIBLE_58	RANDOM_FLEXIBLE_60	RANDOM_SINGLE_COFACTOR_35	RANDOM_WILDTYPE_7	RANDOM_SINGLE_COFACTOR_68	RANDOM_SINGLE_COFACTOR_36	RANDOM_SINGLE_COFACTOR_78	RANDOM_SINGLE_COFACTOR_19	RANDOM_SINGLE_COFACTOR_12	RANDOM_WILDTYPE_43	RANDOM_SINGLE_COFACTOR_91	RANDOM_FLEXIBLE_43	RANDOM_SINGLE_COFACTOR_56	RANDOM_WILDTYPE_34	RANDOM_WILDTYPE_61	RANDOM_SINGLE_COFACTOR_94	RANDOM_WILDTYPE_98	RANDOM_SINGLE_COFACTOR_47	RANDOM_SINGLE_COFACTOR_33	RANDOM_WILDTYPE_73	RANDOM_WILDTYPE_24	WILDTYPE	RANDOM_SINGLE_COFACTOR_39	RANDOM_FLEXIBLE_20	RANDOM_SINGLE_COFACTOR_67	RANDOM_SINGLE_COFACTOR_62	RANDOM_FLEXIBLE_56	RANDOM_WILDTYPE_68	RANDOM_FLEXIBLE_84	RANDOM_WILDTYPE_41	RANDOM_FLEXIBLE_73	RANDOM_WILDTYPE_85	RANDOM_SINGLE_COFACTOR_52	RANDOM_SINGLE_COFACTOR_58	RANDOM_SINGLE_COFACTOR_9	RANDOM_SINGLE_COFACTOR_75	RANDOM_WILDTYPE_81	RANDOM_WILDTYPE_36	RANDOM_FLEXIBLE_90	RANDOM_FLEXIBLE_94	RANDOM_WILDTYPE_0	RANDOM_FLEXIBLE_25	RANDOM_FLEXIBLE_46	RANDOM_SINGLE_COFACTOR_90	RANDOM_FLEXIBLE_65	RANDOM_SINGLE_COFACTOR_23	RANDOM_FLEXIBLE_50	RANDOM_FLEXIBLE_63	RANDOM_WILDTYPE_12	RANDOM_FLEXIBLE_7	RANDOM_FLEXIBLE_55	RANDOM_FLEXIBLE_31	RANDOM_WILDTYPE_47	RANDOM_WILDTYPE_96	RANDOM_WILDTYPE_90	RANDOM_SINGLE_COFACTOR_42	RANDOM_WILDTYPE_53	RANDOM_SINGLE_COFACTOR_63	RANDOM_FLEXIBLE_81	RANDOM_FLEXIBLE_37	RANDOM_SINGLE_COFACTOR_10	RANDOM_WILDTYPE_49	RANDOM_WILDTYPE_4	RANDOM_SINGLE_COFACTOR_65	RANDOM_FLEXIBLE_34	RANDOM_WILDTYPE_16	RANDOM_SINGLE_COFACTOR_86
0,868	10,959	20,04	9,137	-3,064	-2,224	-4,657	-1,403	-1,956	13,507	-0,504	3,828	10,57	9,108	14,412	-1,587	11,322	-1,621	13,757	20,361	-4,247	0,047	9,865	11,532	10,709	-2,909	8,651	2,121	8,946	8,651	14,634	12,574	18,922	-1,75	7,245	0,029	9,904	13,88	10,077	-5,699	5,135	13,195	15,509	0,939	7,285	4,815	5,38	17,924	9,978	12,311	9,538	19,529	-1,22	7,985	1,36	3,852	20,903	10,709	6,037	-1,564	11,506	18,613	1,62	0,351	14,475	15,344	-6,224	-0,036	-1,128	12,344	15,176	0,96	11,782	5,913	7,985	0,77	20,286	19,45	-4,247	14,488	14,552	13,201	1,36	-0,778	10,718	16,396	0,939	12,746	1,374	-1,582	-2,191	16,706	22,71	10,24	7,047	-1,474	8,919	-1,251	20,743	13,237	23,546	-0,505	-1,115	5,38	10,478	5,877	15,532	0,797	-1,142	22,45	12,455	8,926	1,412	9,348	-4,657	15,691	12,503	-4,582	0,1	-2,021	0,555	-1,511	9,538	10,713	5,877	16,807	19,075	7,466	6,595	-6,224	15,194	12,536	9,932	-2,468	0,551	6,794	-0,382	13,874	-0,121	8,213	7,842	-0,41	14,027	8,29	7,466	2,567	-0,221	0,174	11,799	16,971	6,278	2,121	8,926	21,02	-0,82	0,234	6,066	-0,1	-0,371	7,607	16,645	-2,715	0,797	2,218	1,43	7,372	-0,152	-0,805	-0,17	-3,37	0,059	11,735	11,048	1,248	15,571	-0,362	5,135	6,969	13,147	20,779	7,929	-1,845	6,794	12,389	0,766	10,339	-4,247	-0,259	16,878	20,359	2,567	3,852	0,505	1,312	17,751	1,704	4,133	11,782	15,954	11,063	4,176	-1,944	-1,232	-1,365	-1,784	0,766	7,607	-1,296	-1,416	-1,723	8,213	14,707	6,232	10,972	-0,845	14,019	-0,049	9,262	6,278	12,199	-0,82	7,929	15,576	7,285	7,842	-2,5	2,695	-0,892	-6,224	-0,417	-1,634	6,066	-2,705	9,978	-1,558	7,386	18,619	22,874	19,215	-0,653	15,04	-3,422	-1,411	-4,657	-2,511	-3,424	12,698	-0,116	21,521	-2,197	17,299	13,555	-1,207	13,786	-0,375	-0,626	10,258	14,123	13,314	0,016	20,256	-0,988	-0,267	9,558	5,334	18,067	10,464	14,678	0,551	-2,587	1,252	-2,335	-2,069	11,63	11,49	17,894	6,037	9,33	8,737	21,481	-1,799	16,636	-0,079	10,88	17,168	1,248	20,173	13,095	2,695	11,532	5,913	13,397	-2,344	10,713	-0,539	14,316	19,77	-2,975	18,175	-0,036	-3,236	19,088	13,757	-2,74
0,818	22,586	20,51	19,698	7,237	5,512	15,646	4,049	2,812	23,883	5,936	18,787	16,622	18,196	23,447	6,522	21,947	1,144	25,802	26,241	17,34	8,874	19,729	21,385	21,687	0,047	15,654	23,973	24,815	15,654	22,683	25,69	27,6	9,805	21,707	3,325	15,712	24,91	26,702	-1,309	16,913	20,51	21,49	15,413	21,18	10,449	16,253	23,774	20,361	23,801	11,756	25,491	-0,418	25,96	22,76	14,552	28,043	21,687	20,361	0,839	18,21	23,065	13,713	0,351	24,523	19,463	16,869	19,397	1,191	22,94	22,551	5,581	19,202	5,913	26,348	3,53	23,253	25,737	6,857	18,053	25,491	29,834	22,76	2,38	23,17	26,42	15,413	29,458	10,141	3,367	5,953	18,801	27,231	23,811	28,197	9,097	22,743	1,743	26,09	22,387	26,05	3,907	9,329	16,253	28,05	13,993	28,793	18,677	2,567	28,586	19,192	8,926	6,6	9,348	15,646	29,608	21,659	-2,855	4,838	0,423	7,874	10,177	11,756	10,713	13,993	25,693	21,49	23,278	19,779	4,211	21,622	23,392	21,22	2,674	12,323	22,345	3,904	31,071	7,82	21,953	12,826	2,396	28,598	20,738	25,634	25,738	7,89	5,49	23,319	22,625	27,092	27,269	8,926	26,406	15,597	10,419	25,147	3,396	5,305	15,583	16,645	3,525	18,677	11,317	8,766	17,91	4,601	6,764	4,586	-0,424	7,756	23,461	18,954	15,217	22,625	4,572	16,913	21,995	20,743	23,613	32,803	4,832	25,639	21,225	19,851	24,815	17,34	3,566	23,319	25,218	20,627	14,552	3,693	6,666	23,3	7,659	16,229	23,314	19,463	18,358	8,01	3,425	3,626	6,047	8,696	25,839	15,583	1,723	3,494	1,902	20,753	23,058	20,173	18,952	5,366	22,178	6,967	9,348	26,346	23,7	15,597	24,672	18,196	21,86	12,826	3,29	18,566	6,069	16,869	2,02	0,539	20,913	5,589	23,394	1,977	16,31	28,561	29,495	22,551	1,158	22,796	-0,568	1,645	6,864	2,997	-0,539	22,724	6,664	22,724	-0,234	22,851	16,645	5,996	22,607	5,434	2,073	14,678	18,801	23,496	6,13	30,887	1,844	4,886	22,743	20,034	30,31	22,311	14,678	12,323	3,748	6,032	-0,508	4,938	22,101	19,989	25,001	20,361	21,339	19,836	28,971	2,318	19,318	4,385	16,622	18,358	15,217	22,796	25,005	18,994	21,385	5,913	23,945	8,827	10,713	5,423	26,056	25,111	2,543	26,05	19,397	-1,792	22,851	25,134	2,029
0,768	29,817	20,51	23,941	8,747	7,859	15,646	6,601	7,881	25,92	8,54	19,318	16,622	18,196	25,922	9,767	23,897	1,144	25,802	30,125	21,862	10,777	26,062	21,385	21,687	0,047	15,654	25,58	24,815	15,654	24,515	25,69	27,6	9,805	23,811	4,685	18,133	25,455	27,546	-1,309	16,913	20,51	21,49	15,413	21,86	10,449	16,253	28,586	23,394	24,523	11,756	25,491	-0,279	26,348	22,76	17,254	29,926	21,687	20,361	3,681	22,178	28,362	14,57	0,351	24,523	19,463	22,1	19,397	1,191	24,079	22,551	5,581	23,314	5,913	26,348	5,576	25,707	25,737	9,529	22,695	25,491	30,28	22,76	4,079	26,808	27,802	15,413	31,169	11,504	5,169	8,19	18,801	27,231	23,811	28,197	9,17	25,957	1,743	26,09	25,5	26,05	4,317	9,45	16,253	28,05	13,993	33,404	18,677	2,567	28,832	19,192	8,926	12,762	9,348	15,646	29,608	24,884	-2,855	7,137	2,736	11,712	10,818	11,756	10,713	13,993	25,693	21,49	25,634	19,836	6,827	21,622	28,871	21,22	4,012	12,323	24,164	3,904	33,985	8,416	21,953	12,826	3,436	29,658	25,005	25,634	25,738	9,013	8,393	23,319	22,625	29,778	28,605	8,926	29,234	17,37	11,453	25,147	3,396	5,492	15,583	16,645	3,525	18,677	11,317	11,242	19,192	5,984	9,026	4,586	-0,424	7,756	30,28	19,556	15,217	22,625	6,499	16,913	22,42	23,783	23,701	34,354	5,151	25,639	26,371	22,216	24,815	21,582	5,903	23,319	25,218	25,738	17,254	3,693	8,472	27,231	7,659	18,952	29,143	19,463	18,358	10,734	7,085	6,819	6,62	11,825	25,839	15,583	5,363	5,377	3,797	21,953	25,469	22,002	18,952	5,366	22,178	9,273	9,348	27,092	25,081	17,37	32,208	18,196	21,86	12,826	3,29	18,676	6,957	22,1	2,02	2,776	25,147	5,589	23,394	2,142	17,599	29,014	29,495	22,551	1,97	22,796	1,142	1,645	7,78	2,997	1,493	22,724	8,146	22,724	4,982	22,851	16,645	5,996	25,465	5,434	2,073	14,678	18,801	26,804	6,13	30,887	1,844	7,33	23,161	20,111	30,31	25,376	14,678	12,323	3,748	10,658	-0,508	4,938	25,032	19,989	25,001	20,361	22,53	19,836	28,971	2,624	19,318	4,385	16,622	18,358	15,217	22,796	25,005	18,994	21,385	5,913	25,001	8,855	10,713	5,593	26,056	25,111	5,699	26,05	19,397	-1,792	22,851	25,802	4,113
0,718	30,332	20,51	23,941	13,593	7,859	15,646	6,601	10,293	26,603	8,54	19,318	16,622	18,196	28,76	9,767	25,469	9,784	25,802	30,408	21,862	12,106	26,062	21,385	21,687	4,441	15,654	27,026	24,815	15,654	24,515	25,69	32,744	14,18	23,811	8,183	22,51	25,455	29,252	-1,309	16,913	20,51	21,49	27,11	21,86	10,449	16,253	28,832	23,394	24,523	11,756	25,491	1,785	26,348	22,76	17,254	30,447	21,687	20,361	3,681	22,178	28,362	16,017	0,351	24,523	19,463	24,939	19,397	1,191	25,218	22,551	5,581	29,143	5,913	26,348	18,747	26,114	25,737	14,44	22,695	25,491	30,28	31,768	10,88	26,817	27,802	31,683	31,169	14,152	8,544	8,19	18,801	27,231	23,811	28,197	10,156	25,957	4,447	26,09	26,527	26,05	4,317	9,45	16,253	28,05	13,993	33,404	18,677	2,567	28,832	21,49	8,926	12,762	9,348	15,646	29,608	24,884	2,813	8,586	5,228	11,712	10,818	11,756	10,713	13,993	34,26	21,49	25,634	19,836	12,45	21,622	29,458	25,357	5,508	12,323	25,639	3,904	33,985	8,416	21,953	12,826	3,592	29,658	25,005	25,634	25,738	9,013	11,032	23,319	26,028	29,778	28,605	8,926	30,736	25,793	11,453	25,147	3,396	5,644	15,583	16,645	3,525	18,677	11,317	11,242	21,133	5,984	13,643	4,586	3,701	9,169	30,28	19,556	15,217	26,028	7,498	16,913	23,639	25,068	24,377	34,826	5,151	25,639	26,371	23,348	24,815	21,862	5,903	23,319	25,218	25,738	17,254	12,973	9,282	27,231	8,034	18,952	29,143	19,463	18,358	13,102	7,948	7,93	7,535	11,825	25,839	15,583	5,363	6,691	6,079	21,953	30,303	22,002	23,545	7,354	22,178	13,236	9,348	29,778	25,081	25,793	32,208	18,196	21,86	12,826	15,252	18,994	10,516	24,939	2,02	7,295	25,147	13,046	23,394	4,571	19,346	29,014	29,495	22,551	7,743	22,796	10,047	1,645	9,483	7,201	2,637	22,724	8,146	22,724	5,479	22,851	16,645	5,996	27,589	5,434	7,381	14,678	18,801	28,74	6,13	30,887	1,844	8,67	23,161	21,622	30,31	25,69	14,678	12,323	6,319	10,658	-0,508	11,654	26,056	19,989	25,001	20,361	22,53	19,836	28,971	2,624	19,318	9,398	16,622	18,358	15,217	22,796	25,005	18,994	21,385	5,913	25,001	10,156	10,713	5,593	26,056	25,111	5,699	26,05	19,397	-1,792	22,851	25,802	7,009
0,668	31,104	20,51	24,098	14,91	7,859	15,646	6,601	10,293	26,603	8,54	19,318	16,622	18,196	28,76	9,767	30,299	9,784	25,802	41,887	21,862	12,201	26,062	21,385	21,687	4,441	15,654	28,605	24,815	15,654	27,617	25,69	32,744	16,271	23,811	8,183	22,695	25,455	29,822	-1,309	16,913	20,51	21,49	32,883	21,86	10,449	16,253	28,832	23,394	24,523	11,756	25,491	1,785	26,348	25,583	17,254	30,447	21,687	20,361	3,681	22,178	28,362	16,017	0,351	24,523	19,463	24,939	19,397	1,191	25,218	22,551	5,581	29,143	5,913	26,348	18,747	26,114	25,737	14,44	22,695	25,491	30,28	31,835	10,88	26,817	27,802	32,883	31,683	14,152	8,544	8,19	18,801	27,231	23,811	28,197	11,712	25,957	4,447	26,09	26,527	26,05	4,317	9,45	16,253	28,05	13,993	33,55	18,677	2,567	28,832	21,49	8,926	13,147	9,348	15,646	29,608	24,884	2,813	8,586	5,228	11,712	10,818	11,756	10,713	13,993	34,26	21,49	25,634	19,836	12,45	21,622	29,833	25,357	5,508	12,323	25,639	3,904	33,985	8,416	21,953	12,826	3,592	29,658	25,005	25,634	25,738	9,013	11,032	23,319	26,028	29,778	28,605	8,926	30,736	25,793	11,453	25,147	3,396	5,644	15,583	16,645	3,525	18,677	11,317	11,242	21,49	5,984	15,251	4,586	3,701	11,062	30,28	19,556	15,217	26,028	7,498	16,913	24,075	25,068	24,377	37,477	5,151	25,639	26,371	23,348	24,815	21,862	5,903	23,319	25,218	25,738	17,254	12,973	9,282	27,231	8,034	23,545	29,143	19,463	18,358	13,102	7,948	7,93	7,535	11,825	25,839	15,583	5,363	6,691	6,079	21,953	30,303	22,002	23,545	7,719	22,178	13,994	9,348	29,778	29,152	25,793	32,208	18,196	21,86	12,826	15,252	18,994	10,516	24,939	2,02	7,295	25,147	13,046	23,394	4,571	19,346	29,014	29,495	22,551	7,743	22,796	10,047	1,645	9,483	7,201	2,637	22,724	8,146	22,724	5,479	22,851	16,645	5,996	30,566	5,434	7,381	14,678	18,801	28,74	6,13	30,887	1,844	8,67	23,161	21,622	30,31	25,69	14,678	12,323	6,319	10,658	-0,508	11,654	26,056	19,989	25,001	20,361	25,305	19,836	28,971	2,624	19,318	9,398	16,622	18,358	15,217	22,796	25,005	18,994	21,385	5,913	25,001	10,156	10,713	5,593	26,056	25,111	5,699	26,05	19,397	-1,792	22,851	25,802	7,009
0,618	31,182	20,51	28,05	14,91	7,859	15,646	6,601	10,293	26,603	8,54	19,318	16,622	18,196	28,76	9,767	30,303	9,784	25,802	41,887	21,862	12,201	26,062	21,385	21,687	4,441	15,654	28,605	24,815	15,654	27,617	25,69	32,744	16,271	23,811	8,183	22,695	25,455	29,822	-1,309	16,913	20,51	21,49	32,883	21,86	10,449	16,253	28,832	23,394	24,523	11,756	25,491	1,785	26,348	31,835	17,254	30,447	21,687	20,361	3,681	22,178	28,362	16,017	0,351	24,523	19,463	24,939	19,397	1,191	25,218	22,551	5,581	29,143	5,913	26,348	18,747	26,114	25,737	14,44	22,695	25,491	30,28	31,835	10,88	26,817	27,802	32,883	31,683	14,152	8,544	8,19	18,801	27,231	23,811	28,197	11,712	28,229	4,447	26,09	27,92	26,05	4,317	9,45	16,253	28,05	13,993	33,55	18,677	2,567	28,832	21,49	8,926	13,147	9,348	15,646	29,608	24,884	2,813	8,586	5,228	11,712	10,818	11,756	10,713	13,993	34,26	21,49	25,634	19,836	12,45	21,622	29,833	25,357	5,508	12,323	25,639	3,904	33,985	8,416	21,953	12,826	3,592	29,658	25,005	25,634	25,738	9,013	11,032	23,319	26,028	29,778	28,605	8,926	30,736	25,793	11,453	25,147	3,396	5,644	15,583	16,645	3,525	18,677	11,317	11,242	21,49	5,984	15,251	4,586	3,701	11,062	30,28	19,556	15,217	26,028	7,498	16,913	24,075	25,555	24,377	37,477	5,151	25,639	26,371	25,839	24,815	21,862	5,903	23,319	25,218	25,738	17,254	12,973	9,282	27,231	8,034	23,545	29,143	19,463	18,358	13,102	7,948	7,93	7,535	11,825	25,839	15,583	5,363	6,691	6,079	21,953	30,303	22,002	23,545	7,719	22,178	13,994	9,348	29,778	30,53	25,793	32,208	18,196	21,86	12,826	15,252	18,994	10,516	24,939	2,02	7,295	25,147	13,046	23,394	4,571	19,346	29,014	29,495	22,551	7,743	22,796	10,047	1,645	9,483	7,201	2,637	22,724	8,146	22,724	5,479	22,851	16,645	5,996	32,47	5,434	7,381	14,678	18,801	29,014	6,13	30,887	1,844	8,67	23,161	21,622	30,31	25,69	14,678	12,323	6,319	10,658	-0,508	11,654	26,056	19,989	25,001	20,361	25,305	19,836	28,971	2,624	19,318	9,398	16,622	18,358	15,217	22,796	25,005	18,994	21,385	5,913	25,001	10,156	10,713	5,593	26,056	25,111	5,699	26,05	19,397	-1,792	22,851	25,802	7,009
