µ [1/h]	FLEXIBLE	RANDOMFIXED_0	RANDOMS_0	SINGLE_COFACTOR	WILDTYPE
0,371	29,014	29,014	29,014	7,733	2,979
0,321	29,014	29,014	29,014	10,497	11,322
0,271	29,014	29,014	29,014	10,497	16,261
0,221	29,014	29,014	29,014	10,497	19,899
0,171	29,014	29,014	29,014	10,497	19,899
0,121	29,014	29,014	29,014	10,497	19,899
0,071	29,014	29,014	29,014	10,497	19,899
0,05	29,014	29,014	29,014	10,497	19,899
0,03	29,014	29,014	29,014	10,497	19,899
