µ [1/h]	RANDOMS_0	WILDTYPE	FLEXIBLE	SINGLE_COFACTOR	RANDOMFIXED_0
0,371	10,553	5,695	10,553	5,49	8,351
0,321	10,553	10,553	10,553	5,49	8,351
0,271	24,624	15,363	24,662	5,49	16,427
0,221	26,898	21,704	26,898	5,49	20,741
0,171	26,898	21,894	28,174	8,393	20,741
0,121	29,014	24,748	29,014	8,393	29,014
0,071	29,014	24,748	29,014	8,393	29,014
0,05	29,014	24,748	29,014	8,393	29,014
0,03	29,014	24,748	29,014	8,393	29,014
