µ [1/h];Min [NADH]/[NAD] / [NADPH] / [NADP] ratio ratio;Max [NADH]/[NAD] / [NADPH] / [NADP] ratio
0.371;2.603115554871832e-06;0.03917923335631209
0.321;2.718027261437686e-09;0.016810666831990128
0.271;4.984585944330793e-07;0.0001290005326453499
0.221;8.402956752623811e-09;1.2149836234148767e-07
0.171;8.402956752623841e-09;1.2149836234148767e-07
0.121;8.402956752623841e-09;1.2149836234148703e-07
0.071;9.697491281103921e-09;2.0586547428516908e-05
0.05;9.697491281103921e-09;2.0586547428516874e-05
0.03;9.697491281103921e-09;2.0586547428516908e-05
