µ [1/h];Min [NADH]/[NAD] / [NADPH] / [NADP] ratio ratio;Max [NADH]/[NAD] / [NADPH] / [NADP] ratio
0.371;4.996131438229745e-07;0.8471602813012533
0.321;4.520927876011859e-08;0.016810666833671196
0.271;7.24803449115163e-08;0.0003470056683238361
0.221;1.5325059098294287e-06;2.0807194008751586e-06
0.171;1.7856972807670211e-06;1.7856972807665705e-06
0.121;8.283677869720738e-08;1.7854048693652203e-07
0.071;8.283677869720738e-08;1.7854048693652203e-07
0.05;8.283677869720738e-08;1.8576381572540254e-06
0.03;1.8576381572540254e-06;1.8576381572540254e-06
