µ [1/h]	FLEXIBLE	RANDOMFIXED_0	RANDOMS_0	SINGLE_COFACTOR	WILDTYPE
0,371	1,875	1,875	1,875	1,875	0,869
0,321	1,875	1,875	1,875	1,875	1,875
0,271	1,875	1,875	1,875	1,875	1,875
0,221	1,875	1,875	1,875	1,875	1,875
0,171	1,875	1,875	1,875	1,875	1,875
0,121	1,875	1,875	1,875	1,875	1,875
0,071	1,875	1,875	1,875	1,875	1,875
0,05	1,875	1,875	1,875	1,875	1,875
0,03	1,875	1,875	1,875	1,875	1,875
