µ [1/h]	RANDOMS_0	SINGLE_COFACTOR	RANDOMFIXED_0	FLEXIBLE	WILDTYPE
0,371	10,553	5,49	10,553	10,553	5,695
0,321	10,553	5,49	10,553	10,553	10,553
0,271	24,624	5,49	18,894	24,662	15,363
0,221	26,853	5,49	24,748	26,853	21,704
0,171	26,853	8,393	24,748	27,704	21,894
0,121	29,014	8,393	29,014	29,014	24,748
0,071	29,014	8,393	29,014	29,014	24,748
0,05	29,014	8,393	29,014	29,014	24,748
0,03	29,014	8,393	29,014	29,014	24,748
