µ [1/h]	RANDOMFIXED_0	SINGLE_COFACTOR	FLEXIBLE	WILDTYPE	RANDOMS_0
0,371	29,014	7,733	29,014	2,979	29,014
0,321	29,014	10,497	29,014	11,322	29,014
0,271	29,014	10,497	29,014	16,261	29,014
0,221	29,014	10,497	29,014	19,899	29,014
0,171	29,014	10,497	29,014	19,899	29,014
0,121	29,014	10,497	29,014	19,899	29,014
0,071	29,014	10,497	29,014	19,899	29,014
0,05	29,014	10,497	29,014	19,899	29,014
0,03	29,014	10,497	29,014	19,899	29,014
