µ [1/h]	FLEXIBLE	RANDOMFIXED_0	RANDOMS_0	SINGLE_COFACTOR	WILDTYPE
0,371	3,584	2,945	3,584	1,897	3,235
0,321	3,584	2,945	3,584	1,897	3,584
0,271	7,549	6,548	7,549	1,897	5,363
0,221	7,83	7,83	7,83	1,897	7,83
0,171	7,83	7,83	7,83	3,417	7,83
0,121	7,83	7,83	7,83	3,417	7,83
0,071	7,966	7,966	7,966	3,417	7,966
0,05	7,966	7,966	7,966	3,417	7,966
0,03	7,966	7,966	7,966	3,417	7,966
