µ [1/h]	FLEXIBLE	RANDOMFIXED_0	RANDOMFIXED_1	RANDOMFIXED_10	RANDOMFIXED_11	RANDOMFIXED_12	RANDOMFIXED_13	RANDOMFIXED_14	RANDOMFIXED_15	RANDOMFIXED_16	RANDOMFIXED_18	RANDOMFIXED_19	RANDOMFIXED_2	RANDOMFIXED_20	RANDOMFIXED_21	RANDOMFIXED_22	RANDOMFIXED_23	RANDOMFIXED_24	RANDOMFIXED_25	RANDOMFIXED_26	RANDOMFIXED_27	RANDOMFIXED_28	RANDOMFIXED_29	RANDOMFIXED_3	RANDOMFIXED_30	RANDOMFIXED_31	RANDOMFIXED_32	RANDOMFIXED_33	RANDOMFIXED_34	RANDOMFIXED_35	RANDOMFIXED_36	RANDOMFIXED_37	RANDOMFIXED_38	RANDOMFIXED_39	RANDOMFIXED_4	RANDOMFIXED_40	RANDOMFIXED_41	RANDOMFIXED_42	RANDOMFIXED_43	RANDOMFIXED_44	RANDOMFIXED_45	RANDOMFIXED_46	RANDOMFIXED_47	RANDOMFIXED_48	RANDOMFIXED_49	RANDOMFIXED_5	RANDOMFIXED_6	RANDOMFIXED_7	RANDOMFIXED_8	RANDOMFIXED_9	RANDOMS_0	RANDOMS_1	RANDOMS_10	RANDOMS_11	RANDOMS_12	RANDOMS_13	RANDOMS_14	RANDOMS_15	RANDOMS_16	RANDOMS_17	RANDOMS_18	RANDOMS_19	RANDOMS_2	RANDOMS_20	RANDOMS_21	RANDOMS_22	RANDOMS_23	RANDOMS_24	RANDOMS_25	RANDOMS_26	RANDOMS_27	RANDOMS_28	RANDOMS_29	RANDOMS_3	RANDOMS_30	RANDOMS_31	RANDOMS_32	RANDOMS_33	RANDOMS_34	RANDOMS_35	RANDOMS_36	RANDOMS_37	RANDOMS_38	RANDOMS_39	RANDOMS_4	RANDOMS_40	RANDOMS_41	RANDOMS_42	RANDOMS_43	RANDOMS_44	RANDOMS_45	RANDOMS_46	RANDOMS_47	RANDOMS_48	RANDOMS_49	RANDOMS_5	RANDOMS_6	RANDOMS_7	RANDOMS_8	RANDOMS_9	SINGLE_COFACTOR	WILDTYPE
0,206	6,262	2,0	1,296	1,296	1,296	1,927	2,202	2,455	1,296	2,202	3,524	0,827	1,019	0,827	2,455	0,977	2,202	1,296	1,296	1,296	0,977	2,006	1,296	0,827	5,851	3,524	2,202	1,296	2,202	2,006	2,0	3,241	1,296	0,317	1,296	1,296	1,019	2,455	4,895	1,296	1,296	1,121	1,296	1,296	1,019	2,006	2,006	1,296	1,296	1,296	1,919	2,202	4,862	1,296	3,524	1,121	1,296	2,006	1,296	1,296	2,006	1,019	1,296	3,524	2,455	1,927	1,296	4,003	3,32	2,455	1,296	2,006	3,524	2,455	1,296	2,006	1,927	2,455	2,006	2,006	1,296	3,32	2,006	1,296	1,296	1,296	1,296	6,262	1,296	1,919	1,296	3,241	4,862	1,296	1,296	1,121	0,827	2,006	1,019	2,202	1,296	4,751
0,156	7,966	6,34	3,744	3,744	7,966	7,889	6,34	3,744	6,34	3,744	3,744	3,744	3,744	7,966	3,744	5,927	3,744	3,744	3,744	7,889	7,889	3,744	6,398	3,744	7,889	3,744	3,744	7,966	7,966	6,419	7,409	6,34	6,34	3,744	3,744	6,34	3,744	3,744	7,966	6,728	3,744	6,728	6,728	3,744	3,744	7,966	3,744	7,811	7,966	3,744	7,889	7,966	7,966	3,744	3,744	3,744	7,889	3,744	7,889	7,889	3,744	3,744	3,744	6,34	3,744	6,34	3,744	7,966	3,744	3,744	6,34	7,889	3,744	3,744	3,744	7,966	7,966	3,744	7,889	3,744	3,744	6,34	7,966	7,889	7,889	3,744	3,744	6,728	6,728	3,744	3,744	6,419	7,966	3,744	6,34	3,744	7,904	3,744	3,744	3,744	3,744	7,966
0,106	7,966	6,34	3,744	3,744	7,966	7,889	6,34	3,744	6,34	3,744	3,744	3,744	3,744	7,966	3,744	7,966	3,744	3,744	3,744	7,889	7,889	3,744	7,889	3,744	7,889	3,744	3,744	7,966	7,966	6,728	7,889	6,34	6,34	3,744	3,744	6,34	3,744	3,744	7,966	6,728	3,744	6,728	6,728	3,744	3,744	7,966	3,744	7,966	7,966	3,744	7,889	7,966	7,966	3,744	3,744	3,744	7,889	3,744	7,889	7,889	3,744	3,744	3,744	6,34	3,744	6,34	3,744	7,966	3,744	3,744	6,34	7,889	3,744	3,744	3,744	7,966	7,966	3,744	7,889	3,744	3,744	6,34	7,966	7,889	7,889	3,744	3,744	6,728	6,728	3,744	3,744	6,728	7,966	3,744	6,34	3,744	7,966	3,744	3,744	3,744	3,744	7,966
0,056	7,966	6,34	3,744	3,744	7,966	7,889	6,34	3,744	6,34	3,744	3,744	3,744	3,744	7,966	3,744	7,966	3,744	3,744	3,744	7,889	7,889	3,744	7,889	3,744	7,889	3,744	3,744	7,966	7,966	6,728	7,889	6,34	6,34	3,744	3,744	6,34	3,744	3,744	7,966	6,728	3,744	6,728	6,728	3,744	3,744	7,966	3,744	7,966	7,966	3,744	7,889	7,966	7,966	3,744	3,744	3,744	7,889	3,744	7,889	7,889	3,744	3,744	3,744	6,34	3,744	6,34	3,744	7,966	3,744	3,744	6,34	7,889	3,744	3,744	3,744	7,966	7,966	3,744	7,889	3,744	3,744	6,34	7,966	7,889	7,889	3,744	3,744	6,728	6,728	3,744	3,744	6,728	7,966	3,744	6,34	3,744	7,966	3,744	3,744	3,744	3,744	7,966
0,05	7,966	6,34	3,744	3,744	7,966	7,889	6,34	3,744	6,34	3,744	3,744	3,744	3,744	7,966	3,744	7,966	3,744	3,744	3,744	7,889	7,889	3,744	7,889	3,744	7,889	3,744	3,744	7,966	7,966	6,728	7,889	6,34	6,34	3,744	3,744	6,34	3,744	3,744	7,966	6,728	3,744	6,728	6,728	3,744	3,744	7,966	3,744	7,966	7,966	3,744	7,889	7,966	7,966	3,744	3,744	3,744	7,889	3,744	7,889	7,889	3,744	3,744	3,744	6,34	3,744	6,34	3,744	7,966	3,744	3,744	6,34	7,889	3,744	3,744	3,744	7,966	7,966	3,744	7,889	3,744	3,744	6,34	7,966	7,889	7,889	3,744	3,744	6,728	6,728	3,744	3,744	6,728	7,966	3,744	6,34	3,744	7,966	3,744	3,744	3,744	3,744	7,966
0,03	7,966	6,34	3,744	3,744	7,966	7,889	6,34	3,744	6,34	3,744	3,744	3,744	3,744	7,966	3,744	7,966	3,744	3,744	3,744	7,889	7,889	3,744	7,889	3,744	7,889	3,744	3,744	7,966	7,966	6,728	7,889	6,34	6,34	3,744	3,744	6,34	3,744	3,744	7,966	6,728	3,744	6,728	6,728	3,744	3,744	7,966	3,744	7,966	7,966	3,744	7,889	7,966	7,966	3,744	3,744	3,744	7,889	3,744	7,889	7,889	3,744	3,744	3,744	6,34	3,744	6,34	3,744	7,966	3,744	3,744	6,34	7,889	3,744	3,744	3,744	7,966	7,966	3,744	7,889	3,744	3,744	6,34	7,966	7,889	7,889	3,744	3,744	6,728	6,728	3,744	3,744	6,728	7,966	3,744	6,34	3,744	7,966	3,744	3,744	3,744	3,744	7,966
