µ [1/h];Min [NADH]/[NAD] / [NADPH] / [NADP] ratio ratio;Max [NADH]/[NAD] / [NADPH] / [NADP] ratio
0.206;2.500000000000004e-09;0.0002512331953718355
0.181;6.067252013635396e-09;0.00017758356919825546
0.156;8.283677869729126e-08;1.300683446110282e-05
0.131;8.283677869729126e-08;1.300683446110282e-05
0.106;8.283677869729126e-08;1.300683446110282e-05
0.081;8.283677869729096e-08;1.300683446110282e-05
0.056;8.283677869729126e-08;1.300683446110282e-05
0.05;8.283677869729126e-08;1.300683446110282e-05
0.03;8.283677869729126e-08;1.300683446110282e-05
