µ [1/h];Min [NADH]/[NAD] / [NADPH] / [NADP] ratio ratio;Max [NADH]/[NAD] / [NADPH] / [NADP] ratio
0.206;2.500000000000004e-09;0.05624646728520563
0.181;2.9532020660851382e-08;3.6483933157847336e-05
0.156;2.9532020660851488e-08;3.6483933157847465e-05
0.131;2.9532020660851488e-08;3.6483933157847404e-05
0.106;2.9532020660851068e-08;3.6483933157847336e-05
0.081;2.9532020660851488e-08;3.6483933157847336e-05
0.056;2.9532020660851488e-08;3.6483933157847465e-05
0.05;2.9532020660851382e-08;3.6483933157847336e-05
0.03;2.9532020660851488e-08;3.648393315784753e-05
