µ [1/h]	FLEXIBLE	RANDOMFIXED_0	RANDOMFIXED_1	RANDOMFIXED_10	RANDOMFIXED_11	RANDOMFIXED_12	RANDOMFIXED_13	RANDOMFIXED_14	RANDOMFIXED_15	RANDOMFIXED_16	RANDOMFIXED_17	RANDOMFIXED_18	RANDOMFIXED_19	RANDOMFIXED_2	RANDOMFIXED_20	RANDOMFIXED_21	RANDOMFIXED_22	RANDOMFIXED_23	RANDOMFIXED_24	RANDOMFIXED_25	RANDOMFIXED_26	RANDOMFIXED_27	RANDOMFIXED_28	RANDOMFIXED_29	RANDOMFIXED_3	RANDOMFIXED_30	RANDOMFIXED_31	RANDOMFIXED_32	RANDOMFIXED_34	RANDOMFIXED_35	RANDOMFIXED_36	RANDOMFIXED_37	RANDOMFIXED_38	RANDOMFIXED_39	RANDOMFIXED_4	RANDOMFIXED_40	RANDOMFIXED_41	RANDOMFIXED_42	RANDOMFIXED_43	RANDOMFIXED_44	RANDOMFIXED_45	RANDOMFIXED_46	RANDOMFIXED_47	RANDOMFIXED_48	RANDOMFIXED_49	RANDOMFIXED_5	RANDOMFIXED_6	RANDOMFIXED_7	RANDOMFIXED_8	RANDOMFIXED_9	RANDOMS_0	RANDOMS_1	RANDOMS_10	RANDOMS_11	RANDOMS_12	RANDOMS_13	RANDOMS_14	RANDOMS_15	RANDOMS_16	RANDOMS_17	RANDOMS_18	RANDOMS_19	RANDOMS_2	RANDOMS_20	RANDOMS_21	RANDOMS_22	RANDOMS_23	RANDOMS_24	RANDOMS_25	RANDOMS_26	RANDOMS_27	RANDOMS_28	RANDOMS_29	RANDOMS_3	RANDOMS_30	RANDOMS_31	RANDOMS_32	RANDOMS_33	RANDOMS_34	RANDOMS_35	RANDOMS_36	RANDOMS_37	RANDOMS_38	RANDOMS_39	RANDOMS_4	RANDOMS_40	RANDOMS_41	RANDOMS_42	RANDOMS_43	RANDOMS_44	RANDOMS_45	RANDOMS_46	RANDOMS_47	RANDOMS_48	RANDOMS_49	RANDOMS_5	RANDOMS_6	RANDOMS_7	RANDOMS_8	RANDOMS_9	SINGLE_COFACTOR	WILDTYPE
0,206	24,036	4,476	4,371	6,964	4,476	4,371	9,263	4,476	4,371	6,181	0,533	4,371	4,371	4,371	2,071	2,761	2,761	4,371	4,476	2,071	4,371	4,371	6,964	9,265	4,371	4,371	4,371	4,371	9,265	4,371	4,371	2,027	4,371	0,533	4,476	9,263	4,476	2,761	12,545	4,371	6,964	2,761	4,371	2,123	2,123	4,476	6,964	4,371	11,036	2,761	4,371	4,371	4,371	6,964	4,371	2,761	11,036	4,371	4,371	4,476	4,476	4,371	6,964	4,476	2,071	9,263	4,476	2,071	4,371	2,071	2,071	4,371	6,964	4,476	4,476	4,371	4,371	3,752	4,371	4,371	2,123	9,224	4,371	11,036	4,371	4,371	6,964	9,288	4,371	4,371	4,476	2,831	4,371	3,752	2,071	4,476	3,367	4,476	2,071	6,964	4,371	4,371
0,156	29,014	11,647	9,323	9,323	13,525	15,266	11,647	9,323	11,647	9,323	9,323	9,323	9,323	9,323	13,525	9,323	11,753	9,323	9,323	9,323	13,525	13,525	9,323	21,968	9,323	13,525	9,323	9,323	13,525	11,647	13,525	11,647	11,647	9,323	9,323	10,482	9,323	9,323	17,863	11,647	9,323	11,647	11,647	9,323	9,323	15,266	9,323	13,525	13,525	9,323	13,525	13,525	13,525	9,323	9,323	9,323	13,525	9,323	17,329	13,525	9,323	9,323	9,323	11,647	9,323	11,647	9,323	14,423	9,323	9,323	11,647	18,724	9,323	9,323	9,323	17,857	14,423	9,323	13,525	9,323	9,323	11,647	14,423	13,525	13,525	9,323	9,323	11,647	11,647	9,323	9,323	11,647	15,211	9,323	11,647	9,323	13,525	9,323	9,323	9,323	9,323	18,724
0,106	29,014	11,647	9,323	9,323	13,525	15,266	11,647	9,323	11,647	9,323	9,323	9,323	9,323	9,323	13,525	9,323	14,423	9,323	9,323	9,323	13,525	13,525	9,323	21,968	9,323	13,525	9,323	9,323	13,525	11,647	13,525	11,647	11,647	9,323	9,323	11,647	9,323	9,323	17,863	11,647	9,323	11,647	11,647	9,323	9,323	15,266	9,323	13,525	13,525	9,323	13,525	13,525	13,525	9,323	9,323	9,323	13,525	9,323	17,329	13,525	9,323	9,323	9,323	11,647	9,323	11,647	9,323	14,423	9,323	9,323	11,647	18,724	9,323	9,323	9,323	17,857	14,423	9,323	13,525	9,323	9,323	11,647	14,423	13,525	13,525	9,323	9,323	11,647	11,647	9,323	9,323	11,647	15,211	9,323	11,647	9,323	13,525	9,323	9,323	9,323	9,323	18,724
0,056	29,014	11,647	9,323	9,323	13,525	15,266	11,647	9,323	11,647	9,323	9,323	9,323	9,323	9,323	13,525	9,323	14,423	9,323	9,323	9,323	13,525	13,525	9,323	21,968	9,323	13,525	9,323	9,323	13,525	11,647	13,525	11,647	11,647	9,323	9,323	11,647	9,323	9,323	17,863	11,647	9,323	11,647	11,647	9,323	9,323	15,266	9,323	13,525	13,525	9,323	13,525	13,525	13,525	9,323	9,323	9,323	13,525	9,323	17,329	13,525	9,323	9,323	9,323	11,647	9,323	11,647	9,323	14,423	9,323	9,323	11,647	18,724	9,323	9,323	9,323	17,857	14,423	9,323	13,525	9,323	9,323	11,647	14,423	13,525	13,525	9,323	9,323	11,647	11,647	9,323	9,323	11,647	15,211	9,323	11,647	9,323	13,525	9,323	9,323	9,323	9,323	18,724
0,05	29,014	11,647	9,323	9,323	13,525	15,266	11,647	9,323	11,647	9,323	9,323	9,323	9,323	9,323	13,525	9,323	14,423	9,323	9,323	9,323	13,525	13,525	9,323	21,968	9,323	13,525	9,323	9,323	13,525	11,647	13,525	11,647	11,647	9,323	9,323	11,647	9,323	9,323	17,863	11,647	9,323	11,647	11,647	9,323	9,323	15,266	9,323	13,525	13,525	9,323	13,525	13,525	13,525	9,323	9,323	9,323	13,525	9,323	17,329	13,525	9,323	9,323	9,323	11,647	9,323	11,647	9,323	14,423	9,323	9,323	11,647	18,724	9,323	9,323	9,323	17,857	14,423	9,323	13,525	9,323	9,323	11,647	14,423	13,525	13,525	9,323	9,323	11,647	11,647	9,323	9,323	11,647	15,211	9,323	11,647	9,323	13,525	9,323	9,323	9,323	9,323	18,724
0,03	29,014	11,647	9,323	9,323	13,525	15,266	11,647	9,323	11,647	9,323	9,323	9,323	9,323	9,323	13,525	9,323	14,423	9,323	9,323	9,323	13,525	13,525	9,323	21,968	9,323	13,525	9,323	9,323	13,525	11,647	13,525	11,647	11,647	9,323	9,323	11,647	9,323	9,323	17,863	11,647	9,323	11,647	11,647	9,323	9,323	15,266	9,323	13,525	13,525	9,323	13,525	13,525	13,525	9,323	9,323	9,323	13,525	9,323	17,329	13,525	9,323	9,323	9,323	11,647	9,323	11,647	9,323	14,423	9,323	9,323	11,647	18,724	9,323	9,323	9,323	17,857	14,423	9,323	13,525	9,323	9,323	11,647	14,423	13,525	13,525	9,323	9,323	11,647	11,647	9,323	9,323	11,647	15,211	9,323	11,647	9,323	13,525	9,323	9,323	9,323	9,323	18,724
